Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
United Kingdom,2021-11-13,541.95953
United Kingdom,2021-11-14,557.55914
United Kingdom,2021-11-15,568.9765
United Kingdom,2021-11-16,579.33997
United Kingdom,2021-11-17,593.63416
United Kingdom,2021-11-18,602.401
United Kingdom,2021-11-19,608.58844
United Kingdom,2021-11-20,615.0064
United Kingdom,2021-11-21,618.86804
United Kingdom,2021-11-22,624.0016
United Kingdom,2021-11-23,627.6013
United Kingdom,2021-11-24,627.1508
United Kingdom,2021-11-25,630.8533
United Kingdom,2021-11-26,632.69086
United Kingdom,2021-11-27,631.35614
United Kingdom,2021-11-28,630.77783
United Kingdom,2021-11-29,626.52014
United Kingdom,2021-11-30,631.66626
United Kingdom,2021-12-01,643.3078
United Kingdom,2021-12-02,659.0185
United Kingdom,2021-12-03,675.8816
United Kingdom,2021-12-04,690.32666
United Kingdom,2021-12-05,703.6047
United Kingdom,2021-12-06,715.0891
United Kingdom,2021-12-07,717.9073
United Kingdom,2021-12-08,725.0419
United Kingdom,2021-12-09,726.2215
United Kingdom,2021-12-10,734.61743
United Kingdom,2021-12-11,748.6058
United Kingdom,2021-12-12,762.9063
United Kingdom,2021-12-13,783.46136
United Kingdom,2021-12-14,808.8293
United Kingdom,2021-12-15,866.3981
United Kingdom,2021-12-16,963.8931
United Kingdom,2021-12-17,1076.7803
United Kingdom,2021-12-18,1179.5764
United Kingdom,2021-12-19,1270.5236
United Kingdom,2021-12-20,1354.9418
United Kingdom,2021-12-21,1430.3207
United Kingdom,2021-12-22,1528.3751
United Kingdom,2021-12-23,1627.9131
United Kingdom,2021-12-24,1730.2839
United Kingdom,2021-12-25,1844.642
United Kingdom,2021-12-26,1931.3273
United Kingdom,2021-12-27,1892.5221
United Kingdom,2021-12-28,1949.4182
United Kingdom,2021-12-29,2077.3267
United Kingdom,2021-12-30,2207.605
United Kingdom,2021-12-31,2440.6836
United Kingdom,2022-01-01,2599.808
United Kingdom,2022-01-02,2707.2957
United Kingdom,2022-01-03,2807.6865
United Kingdom,2022-01-04,2943.423
United Kingdom,2022-01-05,3016.5286
United Kingdom,2022-01-06,3148.9065
United Kingdom,2022-01-07,3042.8333
United Kingdom,2022-01-08,2909.5796
United Kingdom,2022-01-09,2766.5115
United Kingdom,2022-01-10,2714.841
United Kingdom,2022-01-11,2536.1567
United Kingdom,2022-01-12,2333.0327
United Kingdom,2022-01-13,1996.94
United Kingdom,2022-01-14,1747.6918
United Kingdom,2022-01-15,1587.2577
United Kingdom,2022-01-16,1516.0966
United Kingdom,2022-01-17,1483.2736
United Kingdom,2022-01-18,1488.1074
United Kingdom,2022-01-19,1485.0797
United Kingdom,2022-01-20,1492.648
United Kingdom,2022-01-21,1510.5441
United Kingdom,2022-01-22,1518.7408
United Kingdom,2022-01-23,1530.066
United Kingdom,2022-01-24,1537.9927
United Kingdom,2022-01-25,1546.9354
United Kingdom,2022-01-26,1538.2399
United Kingdom,2022-01-27,1526.3909
United Kingdom,2022-01-28,1519.9122
United Kingdom,2022-01-29,1511.2732
United Kingdom,2022-01-30,1495.1309
United Kingdom,2022-01-31,1477.9053
United Kingdom,2022-02-01,1447.1818
United Kingdom,2022-02-02,1400.429
United Kingdom,2022-02-03,1360.0879
United Kingdom,2022-02-04,1317.6577
United Kingdom,2022-02-05,1276.6797
United Kingdom,2022-02-06,1233.1768
United Kingdom,2022-02-07,1188.7413
United Kingdom,2022-02-08,1131.8535
United Kingdom,2022-02-09,1071.9946
United Kingdom,2022-02-10,1021.1036
United Kingdom,2022-02-11,970.6505
United Kingdom,2022-02-12,919.6275
United Kingdom,2022-02-13,880.43463
United Kingdom,2022-02-14,849.47424
United Kingdom,2022-02-15,810.0886
United Kingdom,2022-02-16,764.54065
United Kingdom,2022-02-17,728.58716
United Kingdom,2022-02-18,701.83624
United Kingdom,2022-02-19,685.96
United Kingdom,2022-02-20,662.24524
United Kingdom,2022-02-21,656.20654
United Kingdom,2022-02-22,647.75195
United Kingdom,2022-02-23,627.6097
United Kingdom,2022-02-24,599.7127
United Kingdom,2022-02-25,568.0818